sp,dutty
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.42,0.0
0.5,0.0
0.61,0.0
0.74,0.0
0.9,0.0
1.11,0.0
1.35,0.0
1.64,0.0
1.97,0.0
2.37,0.0
2.84,0.0
3.38,0.0
4.0,0.0
4.73,0.0
5.77,0.0
7.05,0.0
8.62,0.0
10.58,0.0
12.39,0.0
14.41,3.0
17.13,7.0
20.39,13.0
24.1,22.0
28.48,32.0
33.67,48.0
39.64,70.0
46.44,100.0
54.12,135.0
62.64,175.0
72.03,210.0
82.85,245.0
94.68,255.0
107.36,255.0
119.58,255.0
131.98,255.0
144.13,255.0
156.92,255.0
168.06,255.0
179.83,255.0
189.71,255.0
198.91,255.0
208.31,255.0
217.15,255.0
224.06,255.0
230.27,255.0
235.84,255.0
240.69,255.0
245.97,255.0
250.87,255.0
254.54,255.0
257.8,255.0
260.78,255.0
263.38,255.0
265.56,255.0
267.39,255.0
269.09,255.0
270.56,255.0
271.3,255.0
271.8,255.0
272.13,255.0
272.23,255.0
272.17,255.0
271.97,255.0
271.7,255.0
271.33,255.0
270.89,255.0
270.41,255.0
269.84,255.0
269.04,255.0
268.17,255.0
267.2,255.0
266.2,255.0
264.91,255.0
263.72,255.0
262.32,255.0
260.82,255.0
259.12,255.0
257.32,255.0
255.53,255.0
253.53,255.0
251.58,255.0
249.46,255.0
247.3,255.0
245.0,255.0
242.72,255.0
240.38,255.0
238.02,255.0
235.35,255.0
232.66,255.0
229.86,255.0
227.01,255.0
224.06,255.0
221.09,255.0
217.99,255.0
214.93,255.0
211.88,255.0
208.75,255.0
205.63,255.0
202.58,255.0
199.61,255.0
195.96,250.0
192.24,235.0
188.38,210.0
184.39,190.0
180.23,170.0
175.99,145.0
171.7,125.0
167.36,105.0
163.03,85.0
158.72,60.0
154.38,35.0
150.14,0.0
146.0,0.0
141.91,0.0
137.93,5.0
134.13,13.0
130.44,25.0
126.86,42.0
123.45,60.0
120.21,81.0
117.06,108.0
114.07,136.0
111.22,166.0
108.51,200.0
105.99,215.0
103.7,225.0
101.57,235.0
99.59,245.0
97.76,255.0
96.05,255.0
94.47,255.0
93.05,255.0
91.68,255.0
90.4,255.0
89.26,255.0
88.2,255.0
87.2,255.0
86.28,255.0
85.41,255.0
84.6,255.0
83.8,255.0
83.09,255.0
82.42,255.0
81.79,255.0
80.71,255.0
79.57,255.0
78.37,255.0
77.08,255.0
75.65,255.0
74.2,255.0
72.69,255.0
71.13,255.0
69.5,255.0
67.85,255.0
66.17,255.0
64.48,255.0
63.33,255.0
62.27,255.0
61.37,255.0
60.59,255.0
59.99,255.0
59.53,255.0
59.14,255.0
59.13,255.0
59.19,255.0
59.38,255.0
59.7,255.0
60.08,255.0
60.52,255.0
61.24,255.0
62.02,255.0
62.89,255.0
63.85,255.0
65.02,255.0
66.37,255.0
67.85,255.0
69.46,255.0
71.19,255.0
73.21,255.0
75.35,255.0
77.66,255.0
80.41,255.0
83.13,255.0
86.22,255.0
89.55,255.0
93.13,255.0
96.88,255.0
100.84,250.0
105.37,225.0
109.75,205.0
114.72,180.0
119.97,155.0
124.93,130.0
130.49,100.0
136.23,70.0
142.06,45.0
147.89,0.0
153.82,0.0
159.7,0.0
166.36,7.0
172.28,21.0
178.08,40.0
183.8,64.0
189.39,95.0
194.6,129.0
199.59,168.0
204.43,212.0
208.98,255.0
213.24,255.0
217.31,255.0
221.93,255.0
225.7,255.0
229.22,255.0
232.6,255.0
235.77,255.0
238.68,255.0
241.36,255.0
243.89,255.0
246.09,255.0
247.66,255.0
248.97,255.0
250.06,255.0
251.42,255.0
252.12,255.0
253.15,255.0
253.67,255.0
