Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
421,2.07,-255.0,90.0
422,2.05,-255.0,90.0
423,2.03,-255.0,100.0
424,2.01,-255.0,90.0
425,2.0,-255.0,90.0
426,1.98,-255.0,100.0
427,1.96,-255.0,90.0
428,1.95,-255.0,90.0
429,1.93,-255.0,90.0
430,1.92,-255.0,100.0
431,1.9,-255.0,83.0
432,1.89,-255.0,90.0
433,1.87,-255.0,90.0
434,1.86,-255.0,90.0
435,1.84,-255.0,83.0
436,1.83,-255.0,100.0
437,1.81,-255.0,83.0
438,1.8,-255.0,90.0
439,1.78,-255.0,90.0
440,1.77,-255.0,100.0
441,1.75,-255.0,90.0
442,1.74,-255.0,90.0
443,1.73,-255.0,100.0
444,1.71,-255.0,90.0
445,1.7,-255.0,90.0
446,1.69,-255.0,100.0
447,1.68,-255.0,90.0
448,1.66,-255.0,83.0
449,1.65,-255.0,90.0
450,1.64,-255.0,90.0
451,1.63,-255.0,90.0
452,1.61,-255.0,83.0
453,1.6,-255.0,100.0
454,1.59,-255.0,83.0
455,1.58,-255.0,90.0
456,1.57,-255.0,100.0
457,1.55,-255.0,90.0
458,1.54,-255.0,90.0
459,1.53,-255.0,90.0
460,1.52,-255.0,90.0
461,1.51,-255.0,90.0
462,1.5,-255.0,90.0
463,1.49,-255.0,90.0
464,1.48,-255.0,90.0
465,1.47,-255.0,83.0
466,1.46,-255.0,100.0
467,1.45,-255.0,83.0
468,1.44,-255.0,90.0
469,1.43,-255.0,83.0
470,1.42,-255.0,100.0
471,1.41,-255.0,90.0
472,1.4,-255.0,90.0
473,1.39,-255.0,100.0
474,1.38,-255.0,90.0
475,1.37,-255.0,90.0
476,1.36,-255.0,100.0
477,1.35,-255.0,90.0
478,1.34,-255.0,83.0
479,1.33,-255.0,90.0
480,1.32,-255.0,83.0
481,1.32,-255.0,90.0
482,1.31,-255.0,83.0
483,1.3,-255.0,100.0
484,1.29,-255.0,83.0
485,1.28,-255.0,90.0
486,1.27,-255.0,100.0
487,1.26,-255.0,90.0
488,1.26,-255.0,90.0
489,1.25,-255.0,90.0
490,1.24,-255.0,100.0
491,1.23,-255.0,90.0
492,1.22,-255.0,90.0
493,1.22,-255.0,100.0
494,1.21,-255.0,90.0
495,1.2,-255.0,83.0
496,1.19,-255.0,100.0
497,1.19,-255.0,83.0
498,1.18,-255.0,90.0
499,1.17,-255.0,83.0
500,1.17,-255.0,90.0
