Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
213,4.29,3.92,200.0,0.0,10.0
214,4.24,3.96,202.0,0.0,11.0
215,4.31,4.01,205.0,0.0,12.0
216,4.26,4.05,207.0,0.0,10.0
217,4.33,4.09,209.0,0.0,12.0
218,4.28,4.17,213.0,0.0,11.0
219,4.35,4.25,217.0,0.0,11.0
220,4.3,4.31,220.0,0.0,11.0
221,4.37,4.41,225.0,0.0,10.0
222,4.32,4.47,228.0,0.0,12.0
223,4.39,4.5,230.0,0.0,11.0
224,4.34,4.56,233.0,0.0,11.0
225,4.4,4.66,238.0,0.0,11.0
226,4.35,4.7,240.0,0.0,12.0
227,4.3,4.78,244.0,0.0,10.0
228,4.37,4.88,249.0,0.0,11.0
229,4.32,4.96,253.0,0.0,11.0
230,4.38,5.0,255.0,0.0,11.0
231,4.33,5.0,255.0,0.0,12.0
232,4.4,5.0,255.0,0.0,11.0
233,4.35,5.0,255.0,0.0,12.0
234,4.41,5.0,255.0,0.0,11.0
235,4.36,5.0,255.0,0.0,10.0
236,4.32,5.0,255.0,0.0,11.0
237,4.38,5.0,255.0,0.0,11.0
238,4.33,5.0,255.0,0.0,10.0
239,4.4,5.0,255.0,0.0,11.0
240,4.35,5.0,255.0,0.0,12.0
241,4.41,5.0,255.0,0.0,10.0
242,4.36,5.0,255.0,0.0,12.0
243,4.43,5.0,255.0,0.0,11.0
244,4.38,5.0,255.0,0.0,11.0
245,4.33,5.0,255.0,0.0,11.0
246,4.4,5.0,255.0,0.0,11.0
247,4.35,5.0,255.0,0.0,12.0
248,4.41,5.0,255.0,0.0,11.0
249,4.36,5.0,255.0,0.0,11.0
250,4.31,5.0,255.0,0.0,11.0
251,4.38,5.0,255.0,0.0,11.0
252,4.33,5.0,255.0,0.0,10.0
253,4.39,5.0,255.0,0.0,11.0
254,4.34,5.0,255.0,0.0,11.0
255,4.41,5.0,255.0,0.0,11.0
256,4.36,5.0,255.0,0.0,12.0
257,4.31,5.0,255.0,0.0,11.0
258,4.38,5.0,255.0,0.0,12.0
259,4.34,5.0,255.0,0.0,11.0
260,4.29,5.0,255.0,0.0,10.0
261,4.35,5.0,255.0,0.0,11.0
262,4.31,5.0,255.0,0.0,11.0
263,4.26,5.0,255.0,0.0,10.0
264,4.32,5.0,255.0,0.0,11.0
265,4.27,5.0,255.0,0.0,12.0
266,4.34,5.0,255.0,0.0,10.0
267,4.29,5.0,255.0,0.0,12.0
268,4.36,5.0,255.0,0.0,11.0
269,4.31,5.0,255.0,0.0,11.0
270,4.26,5.0,255.0,0.0,11.0
271,4.33,5.0,255.0,0.0,11.0
272,4.28,5.0,255.0,0.0,12.0
273,4.34,5.0,255.0,0.0,11.0
274,4.3,5.0,255.0,0.0,11.0
275,4.36,5.0,255.0,0.0,11.0
276,4.31,4.98,254.0,0.0,11.0
277,4.38,4.94,252.0,0.0,10.0
278,4.33,5.0,255.0,0.0,11.0
279,4.4,5.0,255.0,0.0,11.0
280,4.35,5.0,255.0,0.0,10.0
281,4.31,5.0,255.0,0.0,12.0
282,4.37,5.0,255.0,0.0,11.0
283,4.32,5.0,255.0,0.0,12.0
284,4.38,5.0,255.0,0.0,11.0
285,4.34,5.0,255.0,0.0,10.0
286,4.41,5.0,255.0,0.0,11.0
287,4.36,5.0,255.0,0.0,11.0
288,4.43,5.0,255.0,0.0,10.0
289,4.38,5.0,255.0,0.0,11.0
290,4.45,5.0,255.0,0.0,12.0
291,4.4,5.0,255.0,0.0,10.0
292,4.46,5.0,255.0,0.0,11.0
293,4.53,5.0,255.0,0.0,11.0
294,4.48,5.0,255.0,0.0,11.0
295,4.54,5.0,255.0,0.0,11.0
296,4.49,5.0,255.0,0.0,11.0
297,4.56,5.0,255.0,0.0,12.0
